# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=/STAR_2009_I793126/d29-x01-y04 //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d29-x01-y04
LegendOnly=/STAR_2009_I793126/d29-x01-y04 //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d29-x01-y04
RatioPlot=1
RatioPlotReference=/STAR_2009_I793126/d29-x01-y04
# END PLOT

# BEGIN HISTO1D /STAR_2009_I793126/d29-x01-y04
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2009_I793126/d29-x01-y04
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.788000e+01	1.788000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.796000e+01	1.796000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.804000e+01	1.804000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.812000e+01	1.812000e+01	1.221300e-02	1.000000e-10	1.000000e-10
1.820000e+01	1.820000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.828000e+01	1.828000e+01	1.236000e-02	1.040000e-04	1.040000e-04
1.836000e+01	1.836000e+01	1.236000e-02	1.040000e-04	1.040000e-04
1.844000e+01	1.844000e+01	1.236000e-02	1.040000e-04	1.040000e-04
1.852000e+01	1.852000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.860000e+01	1.860000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.868000e+01	1.868000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.876000e+01	1.876000e+01	1.221300e-02	1.000000e-10	1.000000e-10
1.884000e+01	1.884000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.892000e+01	1.892000e+01	1.236000e-02	1.040000e-04	1.040000e-04
1.900000e+01	1.900000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.908000e+01	1.908000e+01	1.221300e-02	1.000000e-10	1.000000e-10
1.916000e+01	1.916000e+01	1.221300e-02	1.000000e-10	1.000000e-10
1.924000e+01	1.924000e+01	1.221300e-02	1.000000e-10	1.000000e-10
1.932000e+01	1.932000e+01	1.221300e-02	1.000000e-10	1.000000e-10
1.940000e+01	1.940000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.948000e+01	1.948000e+01	1.221300e-02	1.000000e-10	1.000000e-10
1.956000e+01	1.956000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.964000e+01	1.964000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.972000e+01	1.972000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.980000e+01	1.980000e+01	1.221300e-02	1.000000e-10	1.000000e-10
1.988000e+01	1.988000e+01	1.221300e-02	1.000000e-10	1.000000e-10
